,review,label,count,review_nostop,nostop_count
1587,i hate those things as much as cheap quality black olives,0,11,hate things much cheap quality black olives,7
1588,my breakfast was perpared great with a beautiful presentation of  giant slices of toast lightly dusted with powdered sugar,1,19,breakfast perpared great beautiful presentation giant slices toast lightly dusted powdered sugar,12
1589,the kids play area is nasty,0,6,kids play area nasty,4
1590,great place fo take out or eat in,1,8,great place fo take eat,5
1591,the waitress was friendly and happy to accomodate for veganveggie options,1,11,waitress friendly happy accomodate veganveggie options,6
1592,omg i felt like i had never eaten thai food until this dish,1,13,omg felt like never eaten thai food dish,8
1593,it was extremely crumby and pretty tasteless,0,7,extremely crumby pretty tasteless,4
1594,it was a pale color instead of nice and char and has no flavor,0,14,pale color instead nice char flavor,6
1595,the croutons also taste homemade which is an extra plus,1,10,croutons also taste homemade extra plus,6
1596,i got home to see the driest damn wings ever,0,10,got home see driest damn wings ever,7
1597,itll be a regular stop on my trips to phoenix,1,10,itll regular stop trips phoenix,5
1598,i really enjoyed crema café before they expanded i even told friends they had the best breakfast,1,17,really enjoyed crema café expanded even told friends best breakfast,10
1599,not good for the money,0,5,good money,2
1600,i miss it and wish they had one in philadelphia,1,10,miss wish one philadelphia,4
1601,we got sitting fairly fast but ended up waiting  minutes just to place our order another  minutes before the food arrived,0,21,got sitting fairly fast ended waiting minutes place order another minutes food arrived,13
1602,they also have the best cheese crisp in town,1,9,also best cheese crisp town,5
1603,good value great food great service,1,6,good value great food great service,6
1604,couldnt ask for a more satisfying meal,1,7,couldnt ask satisfying meal,4
1605,the food is good,1,4,food good,2
1606,it was awesome,1,3,awesome,1
1607,i just wanted to leave,0,5,wanted leave,2
1608,we made the drive all the way from north scottsdale and i was not one bit disappointed,1,17,made drive way north scottsdale one bit disappointed,8
1609,i will not be eating there again,0,7,eating,1
1610,the owners really really need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one,0,21,owners really really need quit soooooo cheap let wrap freaking sandwich two papers one,14
1611,i checked out this place a couple years ago and was not impressed,0,13,checked place couple years ago impressed,6
1612,the chicken i got was definitely reheated and was only ok the wedges were cold and soggy,0,17,chicken got definitely reheated ok wedges cold soggy,8
1613,sorry i will not be getting food from here anytime soon ,0,11,sorry getting food anytime soon,5
1614,an absolute must visit,1,4,absolute must visit,3
1615,the cow tongue and cheek tacos are amazing,1,8,cow tongue cheek tacos amazing,5
1616,my friend did not like his bloody mary,0,8,friend like bloody mary,4
1617,despite how hard i rate businesses its actually rare for me to give a  star,0,15,despite hard rate businesses actually rare give star,8
1618,they really want to make your experience a good one,1,10,really want make experience good one,6
1619,i will not return,0,4,return,1
1620,i had the chicken pho and it tasted very bland,0,10,chicken pho tasted bland,4
1621,very disappointing,0,2,disappointing,1
1622,the grilled chicken was so tender and yellow from the saffron seasoning,1,12,grilled chicken tender yellow saffron seasoning,6
1623,a drive thru means you do not want to wait around for half an hour for your food but somehow when we end up going here they make us wait and wait,0,32,drive thru means want wait around half hour food somehow end going make us wait wait,16
1624,pretty awesome place,1,3,pretty awesome place,3
1625,ambience is perfect,1,3,ambience perfect,2
1626,best of luck to the rude and noncustomer service focused new management,0,12,best luck rude noncustomer service focused new management,8
1627,any grandmother can make a roasted chicken better than this one,0,11,grandmother make roasted chicken better one,6
1628,i asked multiple times for the wine list and after some time of being ignored i went to the hostess and got one myself,0,24,asked multiple times wine list time ignored went hostess got one,11
1629,the staff is always super friendly and helpful which is especially cool when you bring two small boys and a baby,1,21,staff always super friendly helpful especially cool bring two small boys baby,12
1630,four stars for the food  the guy in the blue shirt for his great vibe  still letting us in to eat ,1,21,four stars food guy blue shirt great vibe still letting us eat,12
1631,the roast beef sandwich tasted really good,1,7,roast beef sandwich tasted really good,6
1632,same evening him and i are both drastically sick,0,9,evening drastically sick,3
1633,highquality chicken on the chicken caesar salad,1,7,highquality chicken chicken caesar salad,5
1634,ordered burger rare came in well done,0,7,ordered burger rare came well done,6
1635,we were promptly greeted and seated,1,6,promptly greeted seated,3
1636,tried to go here for lunch and it was a madhouse,0,11,tried go lunch madhouse,4
1637,i was proven dead wrong by this sushi bar not only because the quality is great but the service is fast and the food impeccable,1,25,proven dead wrong sushi bar quality great service fast food impeccable,11
1638,after waiting an hour and being seated i was not in the greatest of moods,0,15,waiting hour seated greatest moods,5
1639,this is a good joint,1,5,good joint,2
1640,the macarons here are insanely good,1,6,macarons insanely good,3
1641,im not eating here,0,4,im eating,2
1642,our waiter was very attentive friendly and informative,1,8,waiter attentive friendly informative,4
1643,maybe if they werent cold they would have been somewhat edible,0,11,maybe werent cold would somewhat edible,6
1644,this place has a lot of promise but fails to deliver,0,11,place lot promise fails deliver,5
1645,very bad experience,0,3,bad experience,2
1646,what a mistake,0,3,mistake,1
1647,food was average at best,0,5,food average best,3
1648,great food,1,2,great food,2
1649,we wont be going back anytime soon,0,7,wont going back anytime soon,5
1650,very very disappointed ordered the  big bay plater,0,8,disappointed ordered big bay plater,5
1651,great place to relax and have an awesome burger and beer,1,11,great place relax awesome burger beer,6
1652,it is perfect for a sitdown family meal or get together with a few friends,1,15,perfect sitdown family meal get together friends,7
1653,not much flavor to them and very poorly constructed,0,9,much flavor poorly constructed,4
1654,the patio seating was very comfortable,1,6,patio seating comfortable,3
1655,the fried rice was dry as well,0,7,fried rice dry well,4
1656,hands down my favorite italian restaurant,1,6,hands favorite italian restaurant,4
1657,that just screams legit in my booksomethats also pretty rare here in vegas,1,13,screams legit booksomethats also pretty rare vegas,7
1658,it was just not a fun experience,1,7,fun experience,2
1659,the atmosphere was great with a lovely duo of violinists playing songs we requested,1,14,atmosphere great lovely duo violinists playing songs requested,8
1660,i personally love the hummus pita baklava falafels and baba ganoush its amazing what they do with eggplant,1,18,personally love hummus pita baklava falafels baba ganoush amazing eggplant,10
1661,very convenient since we were staying at the mgm,1,9,convenient since staying mgm,4
1662,the owners are super friendly and the staff is courteous,1,10,owners super friendly staff courteous,5
1663,both great,1,2,great,1
1664,eclectic selection,1,2,eclectic selection,2
1665,the sweet potato tots were good but the onion rings were perfection or as close as i have had,1,19,sweet potato tots good onion rings perfection close,8
1666,the staff was very attentive,1,5,staff attentive,2
1667,and the chef was generous with his time even came around twice so we can take pictures with him,1,19,chef generous time even came around twice take pictures,9
1668,the owner used to work at nobu so this place is really similar for half the price,1,17,owner used work nobu place really similar half price,9
1669,google mediocre and i imagine smashburger will pop up,0,9,google mediocre imagine smashburger pop,5
1670,dont go here,0,3,dont go,2
1671,i promise they wont disappoint,1,5,promise wont disappoint,3
1672,as a sushi lover avoid this place by all means,0,10,sushi lover avoid place means,5
1673,what a great double cheeseburger,1,5,great double cheeseburger,3
1674,awesome service and food,1,4,awesome service food,3
1675,a fantastic neighborhood gem ,1,4,fantastic neighborhood gem,3
1676,i cant wait to go back,1,6,cant wait go back,4
1677,the plantains were the worst ive ever tasted,0,8,plantains worst ive ever tasted,5
1678,its a great place and i highly recommend it,1,9,great place highly recommend,4
1679,service was slow and not attentive,0,6,service slow attentive,3
1680,i gave it  stars then and im giving it  stars now,1,11,gave stars im giving stars,5
1681,your staff spends more time talking to themselves than me,0,10,staff spends time talking,4
1682,dessert panna cotta was amazing,1,5,dessert panna cotta amazing,4
1683,very good food great atmosphere,1,5,good food great atmosphere,4
1684,damn good steak,1,3,damn good steak,3
1685,total brunch fail,0,3,total brunch fail,3
1686,prices are very reasonable flavors are spot on the sauce is home made and the slaw is not drenched in mayo,1,21,prices reasonable flavors spot sauce home made slaw drenched mayo,10
1687,the decor is nice and the piano music soundtrack is pleasant,1,11,decor nice piano music soundtrack pleasant,6
1688,the steak was amazingrge fillet relleno was the best seafood plate i have ever had,1,15,steak amazingrge fillet relleno best seafood plate ever,8
1689,good food  good service ,1,4,good food good service,4
1690,it was absolutely amazing,1,4,absolutely amazing,2
1691,i probably wont be back to be honest,0,8,probably wont back honest,4
1692,will definitely be back,1,4,definitely back,2
1693,the sergeant pepper beef sandwich with auju sauce is an excellent sandwich as well,1,14,sergeant pepper beef sandwich auju sauce excellent sandwich well,9
1694,hawaiian breeze mango magic and pineapple delight are the smoothies that ive tried so far and theyre all good,1,19,hawaiian breeze mango magic pineapple delight smoothies ive tried far theyre good,12
1695,went for lunch  service was slow,0,6,went lunch service slow,4
1696,we had so much to say about the place before we walked in that he expected it to be amazing but was quickly disappointed,0,24,much say place walked expected amazing quickly disappointed,8
1697,i was mortified,0,3,mortified,1
1698,needless to say we will never be back here again,0,10,needless say never back,4
1699,anyways the food was definitely not filling at all and for the price you pay you should expect more,0,19,anyways food definitely filling price pay expect,7
1700,the chips that came out were dripping with grease and mostly not edible,0,13,chips came dripping grease mostly edible,6
1701,i wasnt really impressed with strip steak,0,7,wasnt really impressed strip steak,5
1702,have been going since  and every meal has been awesome,1,10,going since every meal awesome,5
1703,our server was very nice and attentive as were the other serving staff,1,13,server nice attentive serving staff,5
1704,the cashier was friendly and even brought the food out to me,1,12,cashier friendly even brought food,5
1705,i work in the hospitality industry in paradise valley and have refrained from recommending cibo any longer,0,17,work hospitality industry paradise valley refrained recommending cibo longer,9
1706,the atmosphere here is fun,1,5,atmosphere fun,2
1707,would not recommend to others,0,5,would recommend others,3
1708,service is quick and even to go orders are just like we like it,1,14,service quick even go orders like like,7
1709,i mean really how do you get so famous for your fish and chips when its so terrible,0,18,mean really get famous fish chips terrible,7
1710,that said our mouths and bellies were still quite pleased,1,10,said mouths bellies still quite pleased,6
1711,not my thing,0,3,thing,1
1712, thumbs up,1,2,thumbs,1
1713,if you are reading this please dont go there,0,9,reading please dont go,4
1714,i loved the grilled pizza reminded me of legit italian pizza,1,11,loved grilled pizza reminded legit italian pizza,7
1715,only pros  large seating area nice bar area great simple drink menu the best brick oven pizza with homemade dough,1,20,pros large seating area nice bar area great simple drink menu best brick oven pizza homemade dough,17
1716,they have a really nice atmosphere,1,6,really nice atmosphere,3
1717,tonight i had the elk filet specialand it sucked,0,9,tonight elk filet specialand sucked,5
1718,after one bite i was hooked,1,6,one bite hooked,3
1719,we ordered some old classics and some new dishes after going there a few times and were sorely disappointed with everything,0,21,ordered old classics new dishes going times sorely disappointed everything,10
1720,cute quaint simple honest,1,4,cute quaint simple honest,4
1721,the chicken was deliciously seasoned and had the perfect fry on the outside and moist chicken on the inside,1,19,chicken deliciously seasoned perfect fry outside moist chicken inside,9
1722,the food was great as always compliments to the chef,1,10,food great always compliments chef,5
1723,special thanks to dylan t for the recommendation on what to order  all yummy for my tummy,1,17,special thanks dylan recommendation order yummy tummy,7
1724,awesome selection of beer,1,4,awesome selection beer,3
1725,great food and awesome service,1,5,great food awesome service,4
1726,one nice thing was that they added gratuity on the bill since our party was larger than  or  and they didnt expect more tip than that,1,26,one nice thing added gratuity bill since party larger didnt expect tip,12
1727,a fly was in my apple juice a fly,0,9,fly apple juice fly,4
1728,the han nan chicken was also very tasty,1,8,han nan chicken also tasty,5
1729,as for the service i thought it was good,1,9,service thought good,3
1730,the food was barely lukewarm so it must have been sitting waiting for the server to bring it out to us,0,21,food barely lukewarm must sitting waiting server bring us,9
1731,ryans bar is definitely one edinburgh establishment i wont be revisiting,0,11,ryans bar definitely one edinburgh establishment wont revisiting,8
1732,nicest chinese restaurant ive been in a while,1,8,nicest chinese restaurant ive,4
1733,overall i like there food and the service,1,8,overall like food service,4
1734,they also now serve indian naan bread with hummus and some spicy pine nut sauce that was out of this world,1,21,also serve indian naan bread hummus spicy pine nut sauce world,11
1735,probably never coming back and wouldnt recommend it,0,8,probably never coming back wouldnt recommend,6
1736,friends pasta  also bad he barely touched it,0,8,friends pasta also bad barely touched,6
1737,try them in the airport to experience some tasty food and speedy friendly service,1,14,try airport experience tasty food speedy friendly service,8
1738,i love the decor with the chinese calligraphy wall paper,1,10,love decor chinese calligraphy wall paper,6
1739,never had anything to complain about here,1,7,never anything complain,3
1740,the restaurant is very clean and has a family restaurant feel to it,1,13,restaurant clean family restaurant feel,5
1741,it was way over fried,0,5,way fried,2
1742,im not sure how long we stood there but it was long enough for me to begin to feel awkwardly out of place,0,23,im sure long stood long enough begin feel awkwardly place,10
1743,when i opened the sandwich i was impressed but not in a good way,0,14,opened sandwich impressed good way,5
1744,will not be back,0,4,back,1
1745,there was a warm feeling with the service and i felt like their guest for a special treat,1,18,warm feeling service felt like guest special treat,8
1746,an extensive menu provides lots of options for breakfast,1,9,extensive menu provides lots options breakfast,6
1747,i always order from the vegetarian menu during dinner which has a wide array of options to choose from,1,19,always order vegetarian menu dinner wide array options choose,9
1748,i have watched their prices inflate portions get smaller and management attitudes grow rapidly,0,14,watched prices inflate portions get smaller management attitudes grow rapidly,10
1749,wonderful lil tapas and the ambience made me feel all warm and fuzzy inside,1,14,wonderful lil tapas ambience made feel warm fuzzy inside,9
1750,i got to enjoy the seafood salad with a fabulous vinegrette,1,11,got enjoy seafood salad fabulous vinegrette,6
1751,the wontons were thin not thick and chewy almost melt in your mouth,1,13,wontons thin thick chewy almost melt mouth,7
1752,level  spicy was perfect where spice didnt overwhelm the soup,1,10,level spicy perfect spice didnt overwhelm soup,7
1753,we were sat right on time and our server from the get go was fantastic,1,15,sat right time server get go fantastic,7
1754,main thing i didnt enjoy is that the crowd is of older crowd around mid s and up,0,18,main thing didnt enjoy crowd older crowd around mid,9
1755,when im on this side of town this will definitely be a spot ill hit up again,1,17,im side town definitely spot ill hit,7
1756,i had to wait over  minutes to get my drink and longer to get  arepas,0,15,wait minutes get drink longer get arepas,7
1757,this is a great place to eat,1,7,great place eat,3
1758,the jalapeno bacon is soooo good,1,6,jalapeno bacon soooo good,4
1759,the service was poor and thats being nice,0,8,service poor thats nice,4
1760,food was good service was good prices were good,1,9,food good service good prices good,6
1761,the place was not clean and the food oh so stale,0,11,place clean food oh stale,5
1762,the chicken dishes are ok the beef is like shoe leather,0,11,chicken dishes ok beef like shoe leather,7
1763,but the service was beyond bad,0,6,service beyond bad,3
1764,im so happy to be here,1,6,im happy,2
1765,tasted like dirt,0,3,tasted like dirt,3
1766,one of the few places in phoenix that i would definately go back to again ,1,15,one places phoenix would definately go back,7
1767,the block was amazing,1,4,block amazing,2
1768,its close to my house its lowkey nonfancy affordable prices good food,1,12,close house lowkey nonfancy affordable prices good food,8
1769, both the hot  sour  the egg flower soups were absolutely  stars,1,11,hot sour egg flower soups absolutely stars,7
1770,my sashimi was poor quality being soggy and tasteless,0,9,sashimi poor quality soggy tasteless,5
1771,great time  family dinner on a sunday night,1,8,great time family dinner sunday night,6
1772,the food is not tasty at all not to say its real traditional hunan style,0,15,food tasty say real traditional hunan style,7
1773,what did bother me was the slow service,0,8,bother slow service,3
1774,the flair bartenders are absolutely amazing,1,6,flair bartenders absolutely amazing,4
1775,their frozen margaritas are way too sugary for my taste,0,10,frozen margaritas way sugary taste,5
1776,these were so good we ordered them twice,1,8,good ordered twice,3
1777,so in a nutshell  the restaraunt smells like a combination of a dirty fish market and a sewer,0,18,nutshell restaraunt smells like combination dirty fish market sewer,9
1778,my girlfriends veal was very bad,0,6,girlfriends veal bad,3
1779,unfortunately it was not good,0,5,unfortunately good,2
1780,i had a pretty satifying experience,1,6,pretty satifying experience,3
1781,join the club and get awesome offers via email,1,9,join club get awesome offers via email,7
1782,perfect for someone me who only likes beer ice cold or in this case even colder,1,16,perfect someone likes beer ice cold case even colder,9
1783,bland and flavorless is a good way of describing the barely tepid meat,0,13,bland flavorless good way describing barely tepid meat,8
1784,the chains which im no fan of beat this place easily,0,11,chains im fan beat place easily,6
1785,the nachos are a must have,1,6,nachos must,2
1786,we will not be coming back,0,6,coming back,2
1787,i dont have very many words to say about this place but it does everything pretty well,1,17,dont many words say place everything pretty well,8
1788,the staff is super nice and very quick even with the crazy crowds of the downtown juries lawyers and court staff,1,21,staff super nice quick even crazy crowds downtown juries lawyers court staff,12
1789,great atmosphere friendly and fast service,1,6,great atmosphere friendly fast service,5
1790,when i received my pita it was huge it did have a lot of meat in it so thumbs up there,1,21,received pita huge lot meat thumbs,6
1791,once your food arrives its meh,0,6,food arrives meh,3
1792,paying  for a hot dog and fries that looks like it came out of a kids meal at the wienerschnitzel is not my idea of a good meal,0,28,paying hot dog fries looks like came kids meal wienerschnitzel idea good meal,13
1793,the classic maine lobster roll was fantastic,1,7,classic maine lobster roll fantastic,5
1794,my brother in law who works at the mall ate here same day and guess what he was sick all night too,0,22,brother law works mall ate day guess sick night,9
1795,so good i am going to have to review this place twice  once hereas a tribute to the place and once as a tribute to an event held here last night,1,31,good going review place twice hereas tribute place tribute event held last night,13
1796,the chips and salsa were really good the salsa was very fresh,1,12,chips salsa really good salsa fresh,6
1797,this place is great,1,4,place great,2
1798,mediocre food,0,2,mediocre food,2
1799,once you get inside youll be impressed with the place,1,10,get inside youll impressed place,5
1800,im super pissd,0,3,im super pissd,3
1801,and service was super friendly,1,5,service super friendly,3
1802,why are these sad little vegetables so overcooked,0,8,sad little vegetables overcooked,4
1803,this place was such a nice surprise,1,7,place nice surprise,3
1804,they were goldencrispy and delicious,1,5,goldencrispy delicious,2
1805,i had high hopes for this place since the burgers are cooked over a charcoal grill but unfortunately the taste fell flat way flat,0,24,high hopes place since burgers cooked charcoal grill unfortunately taste fell flat way flat,14
1806,i could eat their bruschetta all day it is devine,1,10,could eat bruschetta day devine,5
1807,not a single employee came out to see if we were ok or even needed a water refill once they finally served us our food,0,25,single employee came see ok even needed water refill finally served us food,13
1808,lastly the mozzarella sticks they were the best thing we ordered,1,11,lastly mozzarella sticks best thing ordered,6
1809,the first time i ever came here i had an amazing experience i still tell people how awesome the duck was,1,21,first time ever came amazing experience still tell people awesome duck,11
1810,the server was very negligent of our needs and made us feel very unwelcome i would not suggest this place,0,20,server negligent needs made us feel unwelcome would suggest place,10
1811,the service was terrible though,0,5,service terrible though,3
1812,this place is overpriced not consistent with their boba and it really is overpriced,0,14,place overpriced consistent boba really overpriced,6
1813,it was packed,0,3,packed,1
1814,i love this place,1,4,love place,2
1815,i can say that the desserts were yummy,1,8,say desserts yummy,3
1816,the food was terrible,0,4,food terrible,2
1817,the seasonal fruit was fresh white peach puree,1,8,seasonal fruit fresh white peach puree,6
1818,it kept getting worse and worse so now im officially done,0,11,kept getting worse worse im officially done,7
1819,this place should honestly be blown up,0,7,place honestly blown,3
1820,but i definitely would not eat here again,0,8,definitely would eat,3
1821,do not waste your money here,0,6,waste money,2
1822,i love that they put their food in nice plastic containers as opposed to cramming it in little paper takeout boxes,1,21,love put food nice plastic containers opposed cramming little paper takeout boxes,12
1823,the crêpe was delicate and thin and moist,1,8,crêpe delicate thin moist,4
1824,awful service,0,2,awful service,2
1825,wont ever go here again,0,5,wont ever go,3
1826,food quality has been horrible,0,5,food quality horrible,3
1827,for that price i can think of a few place i would have much rather gone,0,16,price think place would much rather gone,7
1828,the service here is fair at best,0,7,service fair best,3
1829,i do love sushi but i found kabuki to be overpriced overhip and underservices,0,14,love sushi found kabuki overpriced overhip underservices,7
1830,do yourself a favor and stay away from this dish,0,10,favor stay away dish,4
1831,very poor service,0,3,poor service,2
1832,no one at the table thought the food was above average or worth the wait that we had for it,0,20,one table thought food average worth wait,7
1833,best service and food ever maria our server was so good and friendly she made our day,1,17,best service food ever maria server good friendly made day,10
1834,they were excellent,1,3,excellent,1
1835,i paid the bill but did not tip because i felt the server did a terrible job,0,17,paid bill tip felt server terrible job,7
1836,just had lunch here and had a great experience,1,9,lunch great experience,3
1837,i have never had such bland food which surprised me considering the article we read focused so much on their spices and flavor,0,23,never bland food surprised considering article read focused much spices flavor,11
1838,food is way overpriced and portions are fucking small,0,9,food way overpriced portions fucking small,6
1839,i recently tried caballeros and i have been back every week since,1,12,recently tried caballeros back every week since,7
1840,for  bucks a head i really expect better food,0,9,bucks head really expect better food,6
1841,the food came out at a good pace,1,8,food came good pace,4
1842,i ate there twice on my last visit and especially enjoyed the salmon salad,1,14,ate twice last visit especially enjoyed salmon salad,8
1843,i wont be back,0,4,wont back,2
1844,we could not believe how dirty the oysters were,0,9,could believe dirty oysters,4
1845,this place deserves no stars,0,5,place deserves stars,3
1846,i would not recommend this place,0,6,would recommend place,3
1847,in fact im going to round up to  stars just because she was so awesome,1,15,fact im going round stars awesome,6
1848,to my disbelief each dish qualified as the worst version of these foods i have ever tasted,0,17,disbelief dish qualified worst version foods ever tasted,8
1849,bad day or not i have a very low tolerance for rude customer service people it is your job to be nice and polite wash dishes otherwise,0,27,bad day low tolerance rude customer service people job nice polite wash dishes otherwise,14
1850,the potatoes were great and so was the biscuit,1,9,potatoes great biscuit,3
1851,i probably would not go here again,0,7,probably would go,3
1852,so flavorful and has just the perfect amount of heat,1,10,flavorful perfect amount heat,4
1853,the price is reasonable and the service is great,1,9,price reasonable service great,4
1854,the wife hated her meal coconut shrimp and our friends really did not enjoy their meals either,0,17,wife hated meal coconut shrimp friends really enjoy meals either,10
1855,my fella got the huevos rancheros and they didnt look too appealing,0,12,fella got huevos rancheros didnt look appealing,7
1856,went in for happy hour great list of wines,1,9,went happy hour great list wines,6
1857,some may say this buffet is pricey but i think you get what you pay for and this place you are getting quite a lot,1,25,may say buffet pricey think get pay place getting quite lot,11
1858,i probably wont be coming back here,0,7,probably wont coming back,4
1859,worst foodservice ive had in a while,0,7,worst foodservice ive,3
1860,this place is pretty good nice little vibe in the restaurant,1,11,place pretty good nice little vibe restaurant,7
1861,talk about great customer service of course we will be back,1,11,talk great customer service course back,6
1862,hot dishes are not hot cold dishes are close to room tempi watched staff prepare food with bare hands no gloveseverything is deep fried in oil,0,26,hot dishes hot cold dishes close room tempi watched staff prepare food bare hands gloveseverything deep fried oil,18
1863,i love their fries and their beans,1,7,love fries beans,3
1864,always a pleasure dealing with him,1,6,always pleasure dealing,3
1865,they have a plethora of salads and sandwiches and everything ive tried gets my seal of approval,1,17,plethora salads sandwiches everything ive tried gets seal approval,9
1866,this place is awesome if you want something light and healthy during the summer,1,14,place awesome want something light healthy summer,7
1867,for sushi on the strip this is the place to go,1,11,sushi strip place go,4
1868,the service was great even the manager came and helped with our table,1,13,service great even manager came helped table,7
1869,the feel of the dining room was more college cooking course than high class dining and the service was slow at best,0,22,feel dining room college cooking course high class dining service slow best,12
1870,i started this review with two stars but im editing it to give it only one,0,16,started review two stars im editing give one,8
1871,this is the worst sushi i have ever eat besides costcos,0,11,worst sushi ever eat besides costcos,6
1872,all in all an excellent restaurant highlighted by great service a unique menu and a beautiful setting,1,17,excellent restaurant highlighted great service unique menu beautiful setting,9
1873,my boyfriend and i sat at the bar and had a completely delightful experience,1,14,boyfriend sat bar completely delightful experience,6
1874,weird vibe from owners,0,4,weird vibe owners,3
1875,there was hardly any meat,0,5,hardly meat,2
1876,ive had better bagels from the grocery store,0,8,ive better bagels grocery store,5
1877,go to place for gyros,1,5,go place gyros,3
1878,i love the ownerchef his one authentic japanese cool dude,1,10,love ownerchef one authentic japanese cool dude,7
1879,now the burgers arent as good the pizza which used to be amazing is doughy and flavorless,0,17,burgers arent good pizza used amazing doughy flavorless,8
1880,i found a six inch long piece of wire in my salsa,0,12,found six inch long piece wire salsa,7
1881,the service was terrible food was mediocre,0,7,service terrible food mediocre,4
1882,we definately enjoyed ourselves,1,4,definately enjoyed,2
1883,i ordered albondigas soup  which was just warm  and tasted like tomato soup with frozen meatballs,0,16,ordered albondigas soup warm tasted like tomato soup frozen meatballs,10
1884,on three different occasions i asked for well done or medium well and all three times i got the bloodiest piece of meat on my plate,0,26,three different occasions asked well done medium well three times got bloodiest piece meat plate,15
1885,i had about two bites and refused to eat anymore,0,10,two bites refused eat anymore,5
1886,the service was extremely slow,0,5,service extremely slow,3
1887,after  minutes wait i got a table,0,7,minutes wait got table,4
1888,seriously killer hot chai latte,1,5,seriously killer hot chai latte,5
1889,no allergy warnings on the menu and the waitress had absolutely no clue as to which meals did or did not contain peanuts,0,23,allergy warnings menu waitress absolutely clue meals contain peanuts,9
1890,my boyfriend tried the mediterranean chicken salad and fell in love,1,11,boyfriend tried mediterranean chicken salad fell love,7
1891,their rotating beers on tap is also a highlight of this place,1,12,rotating beers tap also highlight place,6
1892,pricing is a bit of a concern at mellow mushroom,0,10,pricing bit concern mellow mushroom,5
1893,worst thai ever,0,3,worst thai ever,3
1894,if you stay in vegas you must get breakfast here at least once,1,13,stay vegas must get breakfast least,6
1895,i want to first say our server was great and we had perfect service,1,14,want first say server great perfect service,7
1896,the pizza selections are good,1,5,pizza selections good,3
1897,i had strawberry tea which was good,1,7,strawberry tea good,3
1898,highly unprofessional and rude to a loyal patron,0,8,highly unprofessional rude loyal patron,5
1899,overall a great experience,1,4,overall great experience,3
1900,spend your money elsewhere,0,4,spend money elsewhere,3
1901,their regular toasted bread was equally satisfying with the occasional pats of butter mmmm,1,14,regular toasted bread equally satisfying occasional pats butter mmmm,9
1902,the buffet at bellagio was far from what i anticipated,0,10,buffet bellagio far anticipated,4
1903,and the drinks are weak people,0,6,drinks weak people,3
1904,my order was not correct,0,5,order correct,2
1905,also i feel like the chips are bought not made in house,0,12,also feel like chips bought made house,7
1906,after the disappointing dinner we went elsewhere for dessert,0,9,disappointing dinner went elsewhere dessert,5
1907,the chips and sals a here is amazing,1,8,chips sals amazing,3
1908,we wont be returning,0,4,wont returning,2
1909,this is my new fav vegas buffet spot,1,8,new fav vegas buffet spot,5
1910,i seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off,0,24,seriously cannot believe owner many unexperienced employees running around like chickens heads cut,13
1911,very very sad,0,3,sad,1
1912,i felt insulted and disrespected how could you talk and judge another human being like that,0,16,felt insulted disrespected could talk judge another human like,9
1913,how can you call yourself a steakhouse if you cant properly cook a steak i dont understand,0,17,call steakhouse cant properly cook steak dont understand,8
1914,im not impressed with the concept or the food,0,9,im impressed concept food,4
1915,the only thing i wasnt too crazy about was their guacamole as i dont like it puréed,0,17,thing wasnt crazy guacamole dont like puréed,7
1916,there is really nothing for me at postinos hope your experience is better,0,13,really nothing postinos hope experience better,6
1917,i got food poisoning here at the buffet,0,8,got food poisoning buffet,4
1918,they brought a fresh batch of fries and i was thinking yay something warm but no,0,16,brought fresh batch fries thinking yay something warm,8
1919,what should have been a hilarious yummy christmas eve dinner to remember was the biggest fail of the entire trip for us,0,22,hilarious yummy christmas eve dinner remember biggest fail entire trip us,11
1920,needless to say i wont be going back anytime soon,0,10,needless say wont going back anytime soon,7
1921,this place is disgusting,0,4,place disgusting,2
1922,every time i eat here i see caring teamwork to a professional degree,1,13,every time eat see caring teamwork professional degree,8
1923,the ri style calamari was a joke,0,7,ri style calamari joke,4
1924,however there was so much garlic in the fondue it was barely edible,0,13,however much garlic fondue barely edible,6
1925,i could barely stomach the meal but didnt complain because it was a business lunch,0,15,could barely stomach meal didnt complain business lunch,8
1926,it was so bad i had lost the heart to finish it,0,12,bad lost heart finish,4
1927,it also took her forever to bring us the check when we asked for it,0,15,also took forever bring us check asked,7
1928,we arent ones to make a scene at restaurants but i just dont get itdefinitely lost the love after this one,0,21,arent ones make scene restaurants dont get itdefinitely lost love one,11
1929,disappointing experience,0,2,disappointing experience,2
1930,the food is about on par with dennys which is to say not good at all,0,16,food par dennys say good,5
1931,if you want to wait for mediocre food and downright terrible service then this is the place for you,0,19,want wait mediocre food downright terrible service place,8
1932,waaaaaayyyyyyyyyy over rated is all i am saying,0,8,waaaaaayyyyyyyyyy rated saying,3
1933,we wont be going back,0,5,wont going back,3
1934,the place was fairly clean but the food simply wasnt worth it,0,12,place fairly clean food simply wasnt worth,7
1935,this place lacked style,0,4,place lacked style,3
1936,the sangria was about half of a glass wine full and was  ridiculous,0,13,sangria half glass wine full ridiculous,6
1937,dont bother coming here,0,4,dont bother coming,3
1938,the meat was pretty dry i had the sliced brisket and pulled pork,0,13,meat pretty dry sliced brisket pulled pork,7
